Player,Year,Team,Matches,Runs,Balls,Average,Strike_Rate,Fours,Sixes,Highest_Score,Wickets,Overs,Economy,Milestone_Points,SR_Bonus,LBW_Bowled_Count,Haul_Bonus,Economy_Bonus,Batting_Fantasy_Points,Bowling_Fantasy_Points,Allrounder_Fantasy_Points,Fantasy_Points
Z Khan,2008,Royal Challengers Bangalore,7.0,34.0,42.0,8.5,80.95,4.0,0.0,17.0,13.0,42.0,8.5,0.0,0.0,4.0,8.0,0.0,50.0,365.0,415.0,415.0
A Kumble,2008,Royal Challengers Bangalore,4.0,13.0,17.0,13.0,76.47,1.0,0.0,8.0,7.0,38.2,7.96,0.0,0.0,1.0,8.0,0.0,17.0,191.0,208.0,208.0
CL White,2008,Royal Challengers Bangalore,8.0,114.0,100.0,22.8,114.0,8.0,4.0,31.0,0.0,1.0,24.0,24.0,14.0,0.0,0.0,0.0,208.0,0.0,208.0,208.0
A Chopra,2008,Kolkata Knight Riders,5.0,42.0,52.0,10.5,80.77,5.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,62.0
A Nel,2008,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.33,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
SA Asnodkar,2008,Rajasthan Royals,9.0,311.0,231.0,38.88,134.63,43.0,6.0,60.0,0.0,0.0,0.0,72.0,22.0,0.0,0.0,0.0,613.0,0.0,613.0,613.0
S Vidyut,2008,Chennai Super Kings,8.0,145.0,109.0,18.12,133.03,21.0,3.0,54.0,1.0,2.0,11.0,24.0,16.0,0.0,0.0,0.0,287.0,25.0,312.0,312.0
AA Noffke,2008,Royal Challengers Bangalore,1.0,9.0,10.0,9.0,90.0,1.0,0.0,9.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,38.0,38.0
AB Agarkar,2008,Kolkata Knight Riders,6.0,54.0,45.0,13.5,120.0,5.0,2.0,20.0,8.0,26.0,7.96,0.0,6.0,0.0,8.0,0.0,92.0,208.0,300.0,300.0
AB Dinda,2008,Kolkata Knight Riders,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,9.0,39.0,6.67,0.0,0.0,3.0,8.0,0.0,2.0,257.0,259.0,259.0
LA Pomersbach,2008,Kings XI Punjab,5.0,152.0,99.0,152.0,153.54,13.0,9.0,79.0,0.0,0.0,0.0,32.0,18.0,0.0,0.0,0.0,308.0,0.0,308.0,308.0
WPUJC Vaas,2008,Deccan Chargers,4.0,21.0,17.0,10.5,123.53,0.0,1.0,12.0,5.0,17.0,8.53,0.0,0.0,1.0,0.0,0.0,27.0,133.0,160.0,160.0
RG Sharma,2008,Deccan Chargers,12.0,404.0,270.0,36.73,149.63,38.0,19.0,76.0,1.0,4.0,6.25,88.0,42.0,0.0,0.0,0.0,800.0,25.0,825.0,825.0
Salman Butt,2008,Kolkata Knight Riders,7.0,193.0,160.0,27.57,120.62,30.0,2.0,73.0,0.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,361.0,0.0,361.0,361.0
DJ Hussey,2008,Kolkata Knight Riders,13.0,319.0,258.0,29.0,123.64,19.0,17.0,71.0,2.0,13.0,10.0,64.0,22.0,0.0,0.0,0.0,583.0,50.0,633.0,633.0
A Mishra,2008,Delhi Daredevils,3.0,37.0,42.0,12.33,88.1,3.0,0.0,31.0,11.0,19.5,7.08,8.0,0.0,3.0,16.0,0.0,57.0,315.0,372.0,372.0
SB Bangar,2008,Deccan Chargers,6.0,47.0,49.0,9.4,95.92,1.0,3.0,17.0,4.0,25.0,8.76,0.0,4.0,1.0,0.0,0.0,73.0,108.0,181.0,181.0
YV Takawale,2008,Mumbai Indians,4.0,70.0,64.0,35.0,109.38,7.0,2.0,27.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,118.0,0.0,118.0,118.0
HH Gibbs,2008,Deccan Chargers,9.0,167.0,153.0,18.56,109.15,17.0,8.0,47.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,307.0,0.0,307.0,307.0
R Dravid,2008,Royal Challengers Bangalore,14.0,371.0,297.0,28.54,124.92,35.0,11.0,75.0,0.0,0.0,0.0,80.0,26.0,0.0,0.0,0.0,683.0,0.0,683.0,683.0
R Bhatia,2008,Delhi Daredevils,3.0,34.0,28.0,17.0,121.43,2.0,2.0,17.0,6.0,22.0,8.32,0.0,0.0,3.0,0.0,0.0,54.0,174.0,228.0,228.0
CK Kapugedera,2008,Chennai Super Kings,3.0,16.0,22.0,5.33,72.73,0.0,0.0,8.0,0.0,2.5,19.6,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,16.0
PR Shah,2008,Mumbai Indians,4.0,34.0,34.0,8.5,100.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0
Umar Gul,2008,Kolkata Knight Riders,4.0,39.0,19.0,13.0,205.26,1.0,5.0,24.0,12.0,22.3,8.25,0.0,6.0,7.0,24.0,0.0,79.0,380.0,459.0,459.0
MM Patel,2008,Rajasthan Royals,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,55.0,7.64,0.0,0.0,3.0,8.0,0.0,0.0,382.0,382.0,382.0
V Sehwag,2008,Delhi Daredevils,14.0,406.0,216.0,36.91,187.96,46.0,21.0,94.0,3.0,11.0,12.09,64.0,42.0,2.0,0.0,0.0,822.0,91.0,913.0,913.0
P Amarnath,2008,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,10.73,0.0,0.0,1.0,0.0,0.0,0.0,183.0,183.0,183.0
Iqbal Abdulla,2008,Kolkata Knight Riders,1.0,1.0,2.0,1.0,50.0,0.0,0.0,1.0,0.0,3.0,7.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
W Jaffer,2008,Royal Challengers Bangalore,6.0,115.0,104.0,23.0,110.58,12.0,3.0,50.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0,209.0,0.0,209.0,209.0
WA Mota,2008,Kings XI Punjab,2.0,26.0,27.0,26.0,96.3,2.0,0.0,25.0,1.0,3.0,12.0,8.0,0.0,0.0,0.0,0.0,42.0,25.0,67.0,67.0
SK Warne,2008,Rajasthan Royals,7.0,70.0,58.0,10.0,120.69,7.0,2.0,22.0,19.0,52.0,7.77,0.0,0.0,4.0,16.0,0.0,110.0,523.0,633.0,633.0
P Kumar,2008,Royal Challengers Bangalore,12.0,112.0,98.0,12.44,114.29,10.0,6.0,34.0,11.0,44.4,8.24,8.0,10.0,1.0,8.0,0.0,206.0,291.0,497.0,497.0
DL Vettori,2008,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.75,0.0,0.0,2.0,0.0,0.0,0.0,66.0,66.0,66.0
NK Patel,2008,Rajasthan Royals,4.0,103.0,81.0,34.33,127.16,13.0,1.0,57.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,0.0,193.0,0.0,193.0,193.0
SK Raina,2008,Chennai Super Kings,14.0,421.0,294.0,46.78,143.2,35.0,18.0,55.0,1.0,3.2,9.38,104.0,52.0,0.0,0.0,0.0,825.0,25.0,850.0,850.0
L Ronchi,2008,Mumbai Indians,4.0,34.0,32.0,17.0,106.25,6.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0
MA Khote,2008,Mumbai Indians,3.0,24.0,22.0,12.0,109.09,2.0,1.0,9.0,2.0,5.0,10.2,0.0,0.0,0.0,0.0,0.0,38.0,50.0,88.0,88.0
DJ Thornely,2008,Mumbai Indians,4.0,39.0,53.0,13.0,73.58,2.0,2.0,30.0,3.0,7.0,5.71,8.0,2.0,0.0,0.0,0.0,69.0,75.0,144.0,144.0
AB de Villiers,2008,Delhi Daredevils,6.0,95.0,98.0,23.75,96.94,5.0,1.0,26.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,137.0,0.0,137.0,137.0
SP Goswami,2008,Royal Challengers Bangalore,3.0,82.0,85.0,27.33,96.47,9.0,1.0,52.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0
M Muralitharan,2008,Chennai Super Kings,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,58.0,6.97,0.0,0.0,3.0,0.0,0.0,0.0,299.0,299.0,299.0
JA Morkel,2008,Chennai Super Kings,10.0,241.0,162.0,34.43,148.77,18.0,14.0,71.0,17.0,48.0,8.31,48.0,32.0,6.0,16.0,0.0,477.0,489.0,966.0,966.0
TM Srivastava,2008,Kings XI Punjab,2.0,8.0,10.0,8.0,80.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0
M Kaif,2008,Rajasthan Royals,14.0,176.0,170.0,19.56,103.53,14.0,6.0,34.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,292.0,0.0,292.0,292.0
MK Pandey,2008,Mumbai Indians,2.0,3.0,9.0,1.5,33.33,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
MF Maharoof,2008,Delhi Daredevils,8.0,125.0,79.0,20.83,158.23,10.0,7.0,39.0,15.0,36.0,6.92,8.0,24.0,5.0,8.0,0.0,239.0,423.0,662.0,662.0
MS Dhoni,2008,Chennai Super Kings,14.0,414.0,310.0,41.4,133.55,38.0,15.0,65.0,0.0,0.0,0.0,88.0,38.0,0.0,0.0,0.0,782.0,0.0,782.0,782.0
RP Singh,2008,Deccan Chargers,9.0,27.0,24.0,5.4,112.5,2.0,1.0,10.0,15.0,51.2,8.63,0.0,0.0,6.0,16.0,0.0,41.0,439.0,480.0,480.0
J Arunkumar,2008,Royal Challengers Bangalore,3.0,23.0,23.0,7.67,100.0,5.0,0.0,22.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,47.0,0.0,47.0,47.0
WP Saha,2008,Kolkata Knight Riders,10.0,159.0,119.0,26.5,133.61,12.0,7.0,59.0,0.0,0.0,0.0,24.0,18.0,0.0,0.0,0.0,291.0,0.0,291.0,291.0
B Akhil,2008,Royal Challengers Bangalore,7.0,46.0,31.0,15.33,148.39,4.0,3.0,27.0,2.0,17.2,7.79,8.0,0.0,0.0,0.0,0.0,88.0,50.0,138.0,138.0
B Chipli,2008,Royal Challengers Bangalore,3.0,20.0,28.0,6.67,71.43,3.0,0.0,10.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,30.0,0.0,30.0,30.0
LPC Silva,2008,Deccan Chargers,3.0,40.0,26.0,20.0,153.85,5.0,1.0,23.0,0.0,1.0,21.0,0.0,10.0,0.0,0.0,0.0,76.0,0.0,76.0,76.0
